icon_id,clean_id,label,semantic_type
afraid_man,afraid_man,afraid_man,emotion
against,against,against,emotion
angry_man,angry_man,person with a frown,emotion
answer,answer,answer,quality
back_ache,back_ache,back_ache,quality
bap,bap,bap,quality
black,black,black,quality
blind,blind,blind,emotion
blood_pressure,blood_pressure,blood_pressure,quality
blue,blue,blue,quality
blue_dark,blue_dark,blue_dark,quality
bright,bright,bright,quality
broken,broken,broken,quality
brown,brown,brown,quality
bubbles,bubbles,bubbles,quality
bumpy,bumpy,having bumps or irregularities,quality
chilli_pepper,chilli_pepper,chilli_pepper,quality
circle,circle,circle,quality
cloudy,cloudy,cloudy,quality
colour,colour,colour,quality
concentrating_lady,concentrating_lady,concentrating_lady,emotion
concentrating_man,concentrating_man,concentrating_man,emotion
confused_lady,confused_lady,confused_lady,emotion
confused_man,confused_man,confused_man,emotion
connection,connection,connection,quality
correct,correct,correct,quality
crooked,crooked,crooked,quality
cross_fingers_to,cross_fingers_to,cross_fingers_to,emotion
crunchy,crunchy,crunchy,quality
curly,curly,curly,quality
curly_hair,curly_hair,curly_hair,quality
daydream_to,daydream_to,daydream_to,emotion
dead,dead,dead,quality
dirty,dirty,dirty,quality
disgusted_lady,disgusted_lady,disgusted lady,emotion
disgusted_man,disgusted_man,disgusted_man,emotion
dove,dove,dove,emotion
drink_consistency_honey_cup,drink_consistency_honey_cup,drink_consistency_honey_cup,quality
dry,dry,lacking moisture,quality
empty,empty,empty,quality
enough,enough,enough,quality
excited_lady,excited_lady,excited_lady,emotion
excited_man,excited_man,excited_man,emotion
extra_large,extra_large,extra_large,quality
eyes_closed,eyes_closed,eyes_closed,emotion
face_neutral_3,face_neutral,face_neutral_3,emotion
fancy,fancy,fancy,quality
fat,fat,fat,quality
fats,fats,fats,quality
fats_high,fats_high,fats_high,quality
friction,friction,friction,quality
full,full,full,quality
fuzzy,fuzzy,fuzzy,quality
glitter,glitter,glitter,quality
good,good,good,quality
good_to_drink,good_to_drink,good_to_drink,quality
good_to_eat,good_to_eat,good_to_eat,emotion
gravity,gravity,gravity,quality
great,great,great,quality
green,green,green,quality
green_dark,green_dark,green_dark,quality
grey_light,grey_light,weather phenomenon,quality
handsome,handsome,handsome,quality
hard,hard,hard,quality
headache,headache,headache,emotion
healthy,healthy,healthy,quality
heart,heart,heart,emotion
heavy,heavy,heavy,quality
high,high,high,quality
highest,highest,highest,quality
hot,hot,hot,quality
hot_person,hot_person,hot_person,emotion
hungry,hungry,hungry,emotion
itch,itch,itch,emotion
jealous_man,jealous_man,jealous_man,emotion
large,large,large,quality
left,left,left,quality
line_parallel,line_parallel,line_parallel,quality
little,little,little,quality
long_hair,long_hair,long_hair,quality
lost,lost,not found or unknown,quality
loud,loud,loud,quality
low_fat_2,low_fat,low_fat_2,quality
lowest,lowest,having the lowest rank or position,quality
lucky,lucky,lucky,quality
mauve,mauve,mauve,quality
mauve_light,mauve_light,mauve light,quality
middle,middle,middle,quality
mirror_1,mirror,mirror_1,quality
mobile_phone_no,mobile_phone_no,mobile_phone_no,emotion
most,most,most,quality
near,near,near,quality
need_toilet,need_toilet,need_toilet,emotion
nine_dots,nine_dots,nine_dots,quality
no_class,no_class,no_class,emotion
non-permeable,non-permeable,non-permeable,quality
opaque,opaque,opaque,quality
oval,oval,oval,quality
over,over,above,quality
parallelogram,parallelogram,parallelogram,quality
percent,percent,percent,quality
permeable,permeable,permeable,quality
pink,pink,pink,quality
pink_bright,pink_bright,pink_bright,quality
pink_pale,pink_pale,pink_pale,quality
pointed,pointed,pointed,quality
pretty,pretty,pretty,quality
purple,purple,purple,quality
quiet,quiet,quiet,quality
rain,rain,rain,quality
rash,rash,rash,quality
ready_2,ready,ready_2,quality
red,red,color,quality
"relax_2_,_to","relax_2_,_to",relax,emotion
retired,retired,retired,quality
right,right,right,quality
sad_man,sad_man,sad_man,emotion
salt,salt,salt,quality
salty,salty,salty,quality
same,same,same,quality
scales_fish,scales_fish,scales_fish,quality
scary,scary,scary,emotion
senses,senses,senses,quality
serene_man,serene_man,serene_man,emotion
shallow,shallow,shallow,quality
sharp,sharp,sharp,quality
shiny,shiny,shiny,quality
short,short,short,quality
silence,silence,silence,quality
slippery,slippery,slippery,quality
smile_to,smile_to,smile_to,emotion
sneering_lady,sneering_lady,sneering_lady,emotion
soft,soft,soft,quality
sour,sour,sour,quality
spicy,spicy,spicy,quality
spotty,spotty,spotty,quality
square,square,square,quality
sticky,sticky,sticky,quality
stomach_ache,stomach_ache,abdominal pain,emotion
straight,straight,straight,quality
striped,striped,striped,quality
strong,strong,strong,quality
stubble,stubble,stubble,quality
surprised_man,surprised_man,surprised_man,emotion
sweet_2,sweet,sweet_2,quality
"take_care_of_,_to","take_care_of_,_to","take_care_of_,_to",emotion
tall,tall,tall,quality
thick,thick,thick,quality
thin,thin,thin,quality
thirsty,thirsty,thirsty,emotion
time_out,time_out,time_out,quality
toothache,toothache,toothache,emotion
transparent,transparent,transparent,quality
twenty_five_percent,twenty_five_percent,twenty_five_percent,quality
ugly,ugly,ugly,quality
want_to,want_to,want_to,emotion
warm_fire,warm_fire,warm_fire,quality
waterproof,waterproof,waterproof,quality
wet_1,wet,wet_1,quality
white,white,white,quality
whole,whole,whole,quality
why,why,why,emotion
worried_lady,worried_lady,worried_lady,emotion
worried_man,worried_man,worried_man,emotion
wrinkled,wrinkled,wrinkled,quality
wrong_thought,wrong_thought,wrong_thought,emotion
yellow,yellow,yellow,quality
young,young,young,quality
yucky,yucky,yucky,emotion
yummy,yummy,yummy,quality
